Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
42 Carers and aides,4233 Nursing support or personal care worker,423312 Nursing assistant or aide,Female,31404,36875,35776,35660,35422,38533,37472
42 Carers and aides,4233 Nursing support or personal care worker,423312 Nursing assistant or aide,Male,5462,40855,40075,40915,40895,42761,41935
42 Carers and aides,4233 Nursing support or personal care worker,423312 Nursing assistant or aide,Total,36866,37465,36365,36439,36130,39159,38024
42 Carers and aides,4233 Nursing support or personal care worker,423313 Personal care assistant,Female,22540,34325,33611,32894,32834,36053,35316
42 Carers and aides,4233 Nursing support or personal care worker,423313 Personal care assistant,Male,3937,39287,38491,38950,39016,41455,40430
42 Carers and aides,4233 Nursing support or personal care worker,423313 Personal care assistant,Total,26477,35063,34232,33792,33630,36856,36065
42 Carers and aides,4233 Nursing support or personal care worker,423314 Physio assistant,Female,1662,34630,32922,31760,30945,35983,34509
42 Carers and aides,4233 Nursing support or personal care worker,423314 Physio assistant,Male,478,37868,38737,34986,37084,39174,40192
42 Carers and aides,4233 Nursing support or personal care worker,423314 Physio assistant,Total,2140,35353,33771,32479,31835,36696,35660
42 Carers and aides,4234 Special care worker,423411 Child or youth residential care assistant,Female,2242,40572,39046,39302,38787,42553,41179
42 Carers and aides,4234 Special care worker,423411 Child or youth residential care assistant,Male,806,44744,43120,43911,44000,47453,46289
42 Carers and aides,4234 Special care worker,423411 Child or youth residential care assistant,Total,3048,41675,40070,40524,39780,43848,42448
42 Carers and aides,4234 Special care worker,423412 Hostel parent,Female,108,34425,31112,28501,12106,35357,32864
42 Carers and aides,4234 Special care worker,423412 Hostel parent,Male,49,40697,40208,34766,40775,42171,41897
42 Carers and aides,4234 Special care worker,423412 Hostel parent,Total,157,36382,36587,30454,22949,37484,36587
42 Carers and aides,4234 Special care worker,423413 Refuge worker,Female,188,44808,41460,43960,42816,46900,44123
42 Carers and aides,4234 Special care worker,423413 Refuge worker,Male,41,42737,42384,41994,43653,44938,48173
42 Carers and aides,4234 Special care worker,423413 Refuge worker,Total,229,44437,41696,43605,43540,46549,44224
43 Hospitality workers,4310 Hospitality employee - type not specified,431000 Hospitality employee - type not specified,Female,323,18216,14695,16376,12748,18629,14769
43 Hospitality workers,4310 Hospitality employee - type not specified,431000 Hospitality employee - type not specified,Male,159,20902,17167,19302,15377,21453,17328
43 Hospitality workers,4310 Hospitality employee - type not specified,431000 Hospitality employee - type not specified,Total,482,19102,15180,17338,13430,19560,15298
43 Hospitality workers,4311 Bar attendant or barista,431111 Attendant - bar,Female,34087,30363,29034,27667,26484,31144,29751
43 Hospitality workers,4311 Bar attendant or barista,431111 Attendant - bar,Male,31104,32529,29704,29687,27612,33385,30470
43 Hospitality workers,4311 Bar attendant or barista,431111 Attendant - bar,Total,65191,31396,29309,28631,27030,32213,30071
43 Hospitality workers,4311 Bar attendant or barista,431112 Barista,Female,22945,25035,23463,23280,21414,25533,23923
43 Hospitality workers,4311 Bar attendant or barista,431112 Barista,Male,10048,27050,24526,25366,22916,27635,25054
43 Hospitality workers,4311 Bar attendant or barista,431112 Barista,Total,32993,25649,23740,23914,21878,26173,24223
43 Hospitality workers,4312 Café worker,431211 Cafe worker,Female,30423,24095,21284,20342,17749,24631,21729
43 Hospitality workers,4312 Café worker,431211 Cafe worker,Male,8130,24290,19968,20492,16886,24857,20307
43 Hospitality workers,4312 Café worker,431211 Cafe worker,Total,38553,24136,20968,20373,17588,24679,21439
43 Hospitality workers,4313 Gaming worker,431311 Croupier,Female,4413,42755,43150,42516,43757,44080,44362
43 Hospitality workers,4313 Gaming worker,431311 Croupier,Male,4113,49844,50516,50098,51653,51228,52210
43 Hospitality workers,4313 Gaming worker,431311 Croupier,Total,8526,46175,46513,46175,47304,47530,47778
43 Hospitality workers,4314 Hotel service manager,431411 Concierge - hotel,Female,2278,46323,46482,45682,47463,48137,48719
43 Hospitality workers,4314 Hotel service manager,431411 Concierge - hotel,Male,2953,49844,48794,49261,49559,51791,50490
43 Hospitality workers,4314 Hotel service manager,431411 Concierge - hotel,Total,5231,48311,47880,47701,48858,50199,49724
43 Hospitality workers,4315 Waiter,431511 Drink waiter,Female,97404,22957,20149,20163,17273,23418,20441
43 Hospitality workers,4315 Waiter,431511 Drink waiter,Male,31887,25308,20840,22042,18316,25860,21263
43 Hospitality workers,4315 Waiter,431511 Drink waiter,Total,129291,23537,20345,20626,17519,24020,20631
43 Hospitality workers,4319 Other hospitality worker,431911 Bar useful or busser,Female,2062,26007,23898,23204,20389,26625,24437
43 Hospitality workers,4319 Other hospitality worker,431911 Bar useful or busser,Male,2082,25277,21177,22245,18193,25814,21425
43 Hospitality workers,4319 Other hospitality worker,431911 Bar useful or busser,Total,4144,25640,22618,22723,19152,26218,23177
43 Hospitality workers,4319 Other hospitality worker,431912 Attendant - door,Female,620,27267,24820,23240,20949,27916,25664
43 Hospitality workers,4319 Other hospitality worker,431912 Attendant - door,Male,1743,37644,36698,34860,35086,38681,37585
43 Hospitality workers,4319 Other hospitality worker,431912 Attendant - door,Total,2363,34921,32929,31804,30380,35854,33784
43 Hospitality workers,4319 Other hospitality worker,431999 Casino worker - host,Female,25883,29896,26898,27863,24635,30791,27744
43 Hospitality workers,4319 Other hospitality worker,431999 Casino worker - host,Male,14731,35086,31668,32620,29279,36187,32691
43 Hospitality workers,4319 Other hospitality worker,431999 Casino worker - host,Total,40614,31778,28273,29588,26124,32748,29261
44 Protective service workers,4411 Defence force member - other ranks,441111 Air force junior non-commissioned officer,Female,4355,61774,63207,63155,66305,65135,67064
44 Protective service workers,4411 Defence force member - other ranks,441111 Air force junior non-commissioned officer,Male,21576,70301,68256,71692,71986,74444,72838
44 Protective service workers,4411 Defence force member - other ranks,441111 Air force junior non-commissioned officer,Total,25931,68869,67439,70258,71127,72880,71959
44 Protective service workers,4412 Fire or emergency service worker,441211 Emergency service worker,Female,935,70334,70238,71985,73069,73344,73359
44 Protective service workers,4412 Fire or emergency service worker,441211 Emergency service worker,Male,1496,95758,93203,95492,95435,99509,97222
44 Protective service workers,4412 Fire or emergency service worker,441211 Emergency service worker,Total,2431,85979,83552,86444,85817,89452,87163
44 Protective service workers,4412 Fire or emergency service worker,441212 Fire brigade officer,Female,858,68758,70582,68358,73617,72253,74459
44 Protective service workers,4412 Fire or emergency service worker,441212 Fire brigade officer,Male,14320,90669,88855,89601,90644,94709,92737
44 Protective service workers,4412 Fire or emergency service worker,441212 Fire brigade officer,Total,15178,89430,87820,88399,89835,93439,91707
44 Protective service workers,4413 Police,441311 Detective - police,Female,1098,91194,92584,96415,99199,95832,97749
44 Protective service workers,4413 Police,441311 Detective - police,Male,3913,106656,104214,110739,109854,111817,109251
44 Protective service workers,4413 Police,441311 Detective - police,Total,5011,103268,102222,107604,108275,108313,107348
44 Protective service workers,4413 Police,441312 Investigator - police,Female,15075,80601,80222,83412,84527,84325,84267
44 Protective service workers,4413 Police,441312 Investigator - police,Male,40263,94306,92720,97084,97522,98536,96990
44 Protective service workers,4413 Police,441312 Investigator - police,Total,55338,90573,89455,93358,94149,94665,93620
44 Protective service workers,4420 Guard - type not specified,442000 Guard - type not specified,Male,1,94797,94797,101031,101031,101042,101042
44 Protective service workers,4420 Guard - type not specified,442000 Guard - type not specified,Total,1,94797,94797,101031,101031,101042,101042
44 Protective service workers,4421 Prison officer,442111 Guard - prison,Female,4980,71847,72005,73500,74996,74751,74965
44 Protective service workers,4421 Prison officer,442111 Guard - prison,Male,12804,81457,80571,83413,83719,84709,83990
44 Protective service workers,4421 Prison officer,442111 Guard - prison,Total,17784,78766,78209,80637,81170,81920,81430
44 Protective service workers,4422 Security officer or guard,"442211 Security worker - security, alarm or surveillance monitor",Female,468,52365,52903,52238,54264,54284,54777
44 Protective service workers,4422 Security officer or guard,"442211 Security worker - security, alarm or surveillance monitor",Male,2646,54404,55012,53183,56313,56929,57771
44 Protective service workers,4422 Security officer or guard,"442211 Security worker - security, alarm or surveillance monitor",Total,3114,54097,54760,53040,55926,56531,57342
44 Protective service workers,4422 Security officer or guard,442212 Armoured car escort,Female,117,53215,52007,50915,54384,55959,54416
44 Protective service workers,4422 Security officer or guard,442212 Armoured car escort,Male,977,58723,60574,59006,63045,63052,64987
44 Protective service workers,4422 Security officer or guard,442212 Armoured car escort,Total,1094,58133,59679,58136,62463,62293,64000
44 Protective service workers,4422 Security officer or guard,442213 Bouncer,Female,379,36580,31673,32838,27083,38257,33703
44 Protective service workers,4422 Security officer or guard,442213 Bouncer,Male,3111,37262,34489,35169,32609,39237,36259
44 Protective service workers,4422 Security officer or guard,442213 Bouncer,Total,3490,37187,34174,34916,32084,39130,35882
44 Protective service workers,4422 Security officer or guard,442214 Detective - private,Female,184,61013,55607,58121,53346,64650,59132
44 Protective service workers,4422 Security officer or guard,442214 Detective - private,Male,499,67186,58082,56189,49980,71421,62096
44 Protective service workers,4422 Security officer or guard,442214 Detective - private,Total,683,65523,56946,56713,51424,69594,60811
44 Protective service workers,4422 Security officer or guard,442215 Retail loss prevention officer,Female,184,45152,42778,44037,43956,47987,46261
44 Protective service workers,4422 Security officer or guard,442215 Retail loss prevention officer,Male,412,47600,44592,47333,46353,50355,48155
44 Protective service workers,4422 Security officer or guard,442215 Retail loss prevention officer,Total,596,46844,43976,46321,45668,49624,47422
44 Protective service workers,4422 Security officer or guard,442216 Security consultant,Female,497,67599,59635,66718,61734,70849,62112
44 Protective service workers,4422 Security officer or guard,442216 Security consultant,Male,3207,79294,68956,76460,68904,83048,72639
44 Protective service workers,4422 Security officer or guard,442216 Security consultant,Total,3704,77725,67682,75141,67831,81411,71329
44 Protective service workers,4422 Security officer or guard,442217 Guard - security,Female,5235,48568,48714,48146,50263,50870,51215
44 Protective service workers,4422 Security officer or guard,442217 Guard - security,Male,33599,51506,51365,50353,52616,53962,54110
