Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
13 Specialist managers,1335 Production manager,133513 Manager - mining production,Male,3822,176883,148721,168988,150694,181106,152065
13 Specialist managers,1335 Production manager,133513 Manager - mining production,Total,4075,175936,147726,167591,149431,180138,150893
13 Specialist managers,1336 Supply and distribution manager,133611 Manager - supply and distribution,Female,3325,80842,69985,79738,71118,84045,72865
13 Specialist managers,1336 Supply and distribution manager,133611 Manager - supply and distribution,Male,11467,104220,85366,97006,85956,108060,88837
13 Specialist managers,1336 Supply and distribution manager,133611 Manager - supply and distribution,Total,14792,98965,81611,93133,82421,102662,84978
13 Specialist managers,1336 Supply and distribution manager,133612 Procurement manager,Female,915,99170,86521,99055,89115,102182,89634
13 Specialist managers,1336 Supply and distribution manager,133612 Procurement manager,Male,1778,117796,103145,113684,103843,121185,106070
13 Specialist managers,1336 Supply and distribution manager,133612 Procurement manager,Total,2693,111468,97685,108709,98679,114728,100833
13 Specialist managers,1341 Child care centre director,134111 Child care centre director,Female,8197,61725,57848,58474,59719,65025,61686
13 Specialist managers,1341 Child care centre director,134111 Child care centre director,Male,400,84792,65461,60153,58724,88217,68182
13 Specialist managers,1341 Child care centre director,134111 Child care centre director,Total,8597,62798,58064,58548,59646,66105,61896
13 Specialist managers,1342 Health and welfare services manager,134211 Administrator - medical,Female,17389,51073,44943,45575,43453,52746,46452
13 Specialist managers,1342 Health and welfare services manager,134211 Administrator - medical,Male,1684,75921,53514,66867,51532,78816,55499
13 Specialist managers,1342 Health and welfare services manager,134211 Administrator - medical,Total,19073,53267,45555,47453,43960,55049,47056
13 Specialist managers,1342 Health and welfare services manager,134212 Director - nursing,Female,4641,83721,82315,83375,84123,87704,86203
13 Specialist managers,1342 Health and welfare services manager,134212 Director - nursing,Male,764,96495,94750,98384,98439,101168,100000
13 Specialist managers,1342 Health and welfare services manager,134212 Director - nursing,Total,5405,85527,84520,85495,86732,89608,88564
13 Specialist managers,1342 Health and welfare services manager,134213 Manager - primary health organisation,Female,1105,82030,74406,79067,73684,85921,77940
13 Specialist managers,1342 Health and welfare services manager,134213 Manager - primary health organisation,Male,373,97411,89359,95514,90503,102058,92897
13 Specialist managers,1342 Health and welfare services manager,134213 Manager - primary health organisation,Total,1478,85911,77791,83142,77494,89993,82157
13 Specialist managers,1342 Health and welfare services manager,134214 Manager - welfare centre,Female,1079,66901,62875,66346,63606,70047,65757
13 Specialist managers,1342 Health and welfare services manager,134214 Manager - welfare centre,Male,442,70590,63883,71085,65960,73594,67636
13 Specialist managers,1342 Health and welfare services manager,134214 Manager - welfare centre,Total,1521,67973,62907,67716,63857,71079,65883
13 Specialist managers,1342 Health and welfare services manager,134299 Health and welfare service manager - other,Female,7400,71602,65642,70196,66058,74673,68807
13 Specialist managers,1342 Health and welfare services manager,134299 Health and welfare service manager - other,Male,3090,91936,80511,88395,80059,95668,83697
13 Specialist managers,1342 Health and welfare services manager,134299 Health and welfare service manager - other,Total,10490,77592,69464,75536,69729,80855,72685
13 Specialist managers,1343 School principal,134311 School principal,Female,6307,112073,110861,114230,116153,117954,116887
13 Specialist managers,1343 School principal,134311 School principal,Male,5606,120864,116150,122948,121989,126850,122019
13 Specialist managers,1343 School principal,134311 School principal,Total,11913,116210,113315,118328,118714,122140,119362
13 Specialist managers,1344 Other education manager,134411 Faculty head,Female,369,112036,101320,112200,107313,117599,107332
13 Specialist managers,1344 Other education manager,134411 Faculty head,Male,299,135058,107148,132522,112338,140301,112526
13 Specialist managers,1344 Other education manager,134411 Faculty head,Total,668,122341,103890,121309,108897,127760,109607
13 Specialist managers,1344 Other education manager,134412 Manager - regional education,Female,8199,54880,48377,50152,47092,56823,50087
13 Specialist managers,1344 Other education manager,134412 Manager - regional education,Male,1597,85386,79331,81460,77490,88847,83055
13 Specialist managers,1344 Other education manager,134412 Manager - regional education,Total,9796,59854,50998,55251,49068,62047,52979
13 Specialist managers,1344 Other education manager,134499 Registrar - TAFE,Female,454,71143,66224,67193,63862,73389,68255
13 Specialist managers,1344 Other education manager,134499 Registrar - TAFE,Male,231,111161,76760,101770,73943,114625,78727
13 Specialist managers,1344 Other education manager,134499 Registrar - TAFE,Total,685,84638,68098,78922,66084,87295,70747
13 Specialist managers,1351 IT manager,135111 Chief information officer,Female,1194,114310,85266,105215,85405,117516,88136
13 Specialist managers,1351 IT manager,135111 Chief information officer,Male,5394,146415,114194,136296,112472,151200,118695
13 Specialist managers,1351 IT manager,135111 Chief information officer,Total,6588,140596,108412,130673,107644,145093,112562
13 Specialist managers,1351 IT manager,135112 Computing professional - project manager,Female,7093,102653,92791,98276,92117,105819,95598
13 Specialist managers,1351 IT manager,135112 Computing professional - project manager,Male,16601,124412,113751,121406,114076,128445,117573
13 Specialist managers,1351 IT manager,135112 Computing professional - project manager,Total,23694,117899,107154,114465,107387,121670,110790
13 Specialist managers,1351 IT manager,135199 Computing professional - other manager,Female,5512,112338,101539,107642,100721,115555,104594
13 Specialist managers,1351 IT manager,135199 Computing professional - other manager,Male,25397,131034,117205,125792,117359,135075,121069
13 Specialist managers,1351 IT manager,135199 Computing professional - other manager,Total,30909,127700,114267,122560,114169,131595,117999
13 Specialist managers,1391 Commissioned officer - management,139111 RAAF junior officer,Female,1589,76682,72642,77830,75791,79881,76500
13 Specialist managers,1391 Commissioned officer - management,139111 RAAF junior officer,Male,6982,86106,80311,87706,83422,89916,84421
13 Specialist managers,1391 Commissioned officer - management,139111 RAAF junior officer,Total,8571,84359,78944,85871,81990,88056,82926
13 Specialist managers,1391 Commissioned officer - management,139112 Fire investigator,Female,46,95332,83408,96271,87241,99152,88077
13 Specialist managers,1391 Commissioned officer - management,139112 Fire investigator,Male,598,108799,103193,106276,104392,113070,107000
13 Specialist managers,1391 Commissioned officer - management,139112 Fire investigator,Total,644,107837,101656,105561,103834,112076,106515
13 Specialist managers,1391 Commissioned officer - management,139113 Inspector - police,Female,637,93148,82908,94965,88468,97437,87336
13 Specialist managers,1391 Commissioned officer - management,139113 Inspector - police,Male,2224,118372,106227,116892,110799,122918,110639
13 Specialist managers,1391 Commissioned officer - management,139113 Inspector - police,Total,2861,112756,101248,112012,105821,117245,105590
13 Specialist managers,1392 Senior non-commissioned defence force member,139211 Air force senior non-commissioned officer,Female,732,85347,83968,85179,87209,88676,87262
